Comuna,"2015","2016","2017","2018","2019","2020","2021","2022","2023"
Total comunas,"265,5","234,3","237,6","188,7","182,4","166,9","194,7","235,8","177,2"
Cerrillos,"302,2","282,1","192,9","185,1","222,7","239,4","265,9","419,6","308,7"
Cerro Navia,"109,7","102,4",116,"132,5","130,8","138,3","137,7","202,8","170,7"
Conchalí,"179,9","211,5","239,1","170,2",140,"186,8","158,5","195,5","165,6"
El Bosque,"295,9","252,6","228,3","201,7","237,3","168,6",227,"220,8","213,4"
Estación Central,"307,6","287,4","318,7","265,4","254,3","169,7",242,"295,9","194,2"
Huechuraba,"343,9","234,9","228,9","150,9",156,"89,8","93,5","132,9","123,8"
Independencia,284,"417,3","466,6","323,2","289,9","248,5","251,9","268,5","182,4"
La Cisterna,"378,5","375,8","371,1","319,2","363,4","342,5","422,2","514,2","419,2"
La Florida,"207,8","133,3","141,6","133,8","145,4",125,"144,1","160,3","132,5"
La Granja,"218,6","198,3","197,5","147,9",156,"142,8","207,3","199,7","129,7"
La Pintana,"159,3","211,1","220,2",196,"193,9","147,9","143,6","154,2",119
La reina,"240,2",224,"194,2","141,1","139,3","115,7","241,9","248,7","134,4"
Las Condes,"245,2","178,4","180,7","120,2","105,2",127,"131,8",202,"116,9"
Lo Barnechea,"292,6","83,6","58,3","29,7","26,8",33,26,"64,6","60,9"
Lo Espejo,"156,5","116,4","137,3","168,2","155,3","141,5","138,3","191,2","142,7"
Lo Prado,"162,3","157,2","180,6","172,9","148,4","119,7","177,2","246,8","201,1"
Macul,"233,4","173,3","215,5","219,2","189,3","197,6","172,4","178,7","210,5"
Maipu,"173,9","166,4","152,8","135,8","123,9",145,171,"197,7","162,2"
Ñuñoa,"381,4","336,7",331,263,265,"218,6","199,7","241,8","175,1"
Pedro Aguirre Cerda,"173,1","134,2","126,1","125,7","116,6","123,4","151,8","217,8","187,7"
Peñalolén,"137,4","130,4","128,2","111,8","136,9","131,2","186,8","147,4","114,8"
Providencia,"137,4","130,4","128,2","111,8","136,9","131,2","186,8","147,4","114,8"
Pudahuel,"148,1","157,1","163,9","118,6","107,1","105,1","130,2","156,7","146,9"
Quilicura,"222,7","190,3","242,7","105,9","105,3","111,1","103,8","152,2","150,7"
Quinta Normal,"397,6","431,8","430,4","462,6","349,2","348,3",406,"520,5","381,7"
recoleta,"236,8","254,3","286,1","219,6","176,3","148,4","181,3","212,6","187,7"
renca,164,"156,6","178,5","181,4","158,1","156,7","153,7","212,9","149,2"
San Joaquín,194,172,"182,1","202,9","174,5","156,5","221,4","209,2","171,1"
San Miguel,"461,4","358,3","350,7","228,8","202,2","202,9","283,6","408,6","304,5"
San ramón,"257,7","257,8","270,8",231,"159,5","143,3","191,8","249,8","194,1"
Santiago,"493,6","454,3","409,6","280,2","299,1","234,5","289,8","340,8","200,2"
Vitacura,"724,9","455,8",452,"219,3",251,"236,6","247,7","332,8","242,3"
